title,count
Water Science and Technology,3
IEEE Sensors Journal,3
Journal of gerontology,3
Quality Assessment Guidebook: A Guide to Assessing Health Services for Adolescent Clients,3
American Sociological Review,3
Ethiopian Medical Journal,3
Microbiology (United Kingdom),3
Menopause,3
Journal of Algebra,3
Australian and New Zealand Journal of Surgery,3
Journal of Homosexuality,3
Patient,3
Journal of Raman Spectroscopy,3
Physics and Chemistry of Minerals,3
Social Philosophy and Policy,3
International Journal of Intelligence and CounterIntelligence,3
Intelligence,3
Expert Opinion on Therapeutic Targets,3
Bulletin of the Geological Society of America,3
Applied microbiology,3
Chromosoma,3
Pharmacogenomics,3
Cancer Investigation,3
J Korean Neurol Assoc,3
Global AIDS Update,3
Briefings in Bioinformatics,3
Social Indicators Research,3
Internal Medicine,3
Proc. R. Soc. Lond. A,3
Seminars in Liver Disease,3
Plant Systematics and Evolution,3
Canadian Respiratory Journal,3
Shock,3
Communication Research,3
Asia-Pacific Journal of Public Health,3
Memory & Cognition,3
International Journal for Numerical and Analytical Methods in Geomechanics,3
Journal of the American Academy of Nurse Practitioners,3
Research on Aging,3
An Introduction to the Bootstrap,3
Microbiology Spectrum,3
Journal of Genetics and Genomics,3
Journal of Dental Research,3
Journal of the Optical Society of America B: Optical Physics,3
JETP Letters,3
Translational Research,3
Japanese Journal of Clinical Oncology,3
Conservation Evidence,3
Phys. Lett.,3
Electroencephalography and Clinical Neurophysiology,3
Current Urology Reports,3
Brain Pathology,3
Journal of Endocrinology,3
Medical Teacher,3
Current Heart Failure Reports,3
International Journal of Biological Sciences,3
Land Economics,3
Behavioral and Neural Biology,3
Pattern Recognition Letters,3
"Journal of Biomaterials Science, Polymer Edition",3
Networks and Spatial Economics,3
SIAM J. Numer. Anal.,3
Graduate Texts in Mathematics,3
"European Journal of Mechanics, B/Fluids",3
Folia Primatologica,3
"Magnetic Resonance Materials in Physics, Biology and Medicine",3
Talanta,3
Public Health Ethics,3
IEEE Journal on Selected Topics in Signal Processing,3
Population Studies,3
Mathematics of Computation,3
Journal of Occupational and Environmental Hygiene,3
Child and Family Behavior Therapy,3
Journal of the European Academy of Dermatology and Venereology,3
Current protocols in chemical biology,3
Neuropediatrics,3
Midwifery,3
Synthetic Metals,3
Journal of Biogeography,3
Journal of Spinal Cord Medicine,3
Critical Reviews in Biochemistry and Molecular Biology,3
Economic Theory,3
BMC Microbiology,3
J Urol,3
The Executive Documents Printed by Order of the Senate of the United States for the Second Session of the Forty-sixth Congress,3
Patient Preference and Adherence,3
Plant Journal,3
JMIR Res Protoc,3
Journal of Machine Learning Research,3
Chemico-Biological Interactions,3
Mycoses,3
Annals of Applied Probability,3
"Health Economics, Policy and Law",3
Infectious Disease Clinics of North America,3
"Medicina Oral, Patologia Oral y Cirugia Bucal",3
Soc Med,3
Cellular and Molecular Bioengineering,3
PS - Political Science and Politics,3
Journal of Bone and Mineral Metabolism,3
Pediatric nursing,3
Archives of Toxicology,3
Personality and Social Psychology Review,3
Journal of Drug Issues,3
Indian Papers of Texas and the Southwest,3
Semiparametric Regression,3
Danish Medical Bulletin,3
Journal of Headache and Pain,3
Annals of Human Biology,3
Journal of Hand Surgery: European Volume,3
Vascular Health and Risk Management,3
Quarterly Journal of the Royal Meteorological Society,3
Congenital Heart Disease,3
Revista Espanola de Cardiologia,3
Environmental Sciences: Processes and Impacts,3
Arquivos brasileiros de cardiologia,3
Introduction to Relativistic Quantum Chemistry,3
Alzheimer's Research and Therapy,3
Lecture Notes in Computer Science,3
Journal of Biomedical Materials Research - Part B Applied Biomaterials,3
Cochrane Handbook for Systematic Reviews of Interventions,3
PhRvL,3
Human Evolution,3
Ann. Stat.,3
Journal of Mathematical Analysis and Applications,3
Molecular Oncology,3
Molecular Reproduction and Development,3
Immunobiology,3
Journal of Pure and Applied Algebra,3
Annals of the Royal College of Surgeons of England,3
Bioresource Technology,3
Conservation Letters,3
The Gap Report,3
ACS Central Science,3
European Journal of Pharmaceutics and Biopharmaceutics,3
Catena,3
Radiologia Medica,3
Pharmaceuticals,3
Neurologic Clinics,3
Current Treatment Options in Oncology,3
Am. J. Bot.,3
Journal of Soil and Water Conservation,3
Security Studies,3
International Journal of Emergency Medicine,3
Medical & Biological Engineering & Computing,3
Basic and Clinical Pharmacology and Toxicology,3
J. Polit. Econ.,3
Behavior Therapy,3
Parasitology Research,3
British journal of sports medicine,3
"Artificial Cells, Blood Substitutes, and Biotechnology",3
Heart Failure Reviews,3
Reading and Writing,3
Journal of Mammary Gland Biology and Neoplasia,3
PEPFAR's Best Practices for Voluntary Medical Male Circumcision Site Operations: A Service Guide for Site Operations,3
Neurologia Medico-Chirurgica,3
Journal of Oncology Pharmacy Practice,3
American Economic Journal: Microeconomics,3
Annals of Clinical and Laboratory Science,3
The DrizzlePac Handbook,3
IFAC Proceedings Volumes (IFAC-PapersOnline),3
Joint Bone Spine,3
Public Health Genomics,3
Health and Social Work,3
Allergologia et Immunopathologia,3
Arthritis and rheumatism,3
Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings,3
Journal of the American Mathematical Society,3
Current Hypertension Reports,3
F1000Prime Reports,3
Management Sci.,3
JOSS,3
International Journal of Life Cycle Assessment,3
Nature reviews. Gastroenterology & hepatology,3
Cell and Tissue Banking,3
Journal of Physical and Chemical Reference Data,3
Current Opinion in Oncology,3
Frontiers in Neuroendocrinology,3
Disaster Medicine and Public Health Preparedness,3
The Lancet Psychiatry,3
Toxicology Letters,3
Mass Spectrometry Reviews,3
The Guardian,3
Canadian Journal of Neurological Sciences,3
Foreign Policy,3
International Journal of Heat and Mass Transfer,3
BMC Medical Genetics,3
Journal of Pharmacy and Pharmacology,3
American Astronomical Society Meeting Abstracts,3
European Journal of Soil Biology,3
Front Psychol,3
Journal of Managed Care Pharmacy,3
Pathology International,3
Elife,3
Neuroinformatics,3
Pharmaceutical Statistics,3
International Wound Journal,3
Teacher Education and Special Education,3
IEEE Transactions on Control of Network Systems,3
Polymer (United Kingdom),3
Medical Mycology,3
Forbes,3
Journal of Development Studies,3
BMC Systems Biology,3
Population and Development Review,3
J AAPOS,3
Cardiology (Switzerland),3
Expert Review of Clinical Pharmacology,3
Critical Care Nurse,3
Ecology and Evolution,3
Landscape Ecology,3
Quat. Sci.,3
Zeitschrift für Physik,3
Angiogenesis,3
Mechanisms of Development,3
Journal of Medical Entomology,3
Journal of Infusion Nursing,3
Molecular Pain,3
Journal of Research in Rural Education,3
The Journal of biological chemistry,3
"Advances in Atomic, Molecular and Optical Physics",3
Informatik aktuell,3
Microbiome,3
Orthopaedic Journal of Sports Medicine,3
Journal of Insect Physiology,3
Tobacco control,3
Liquid Crystals,3
DNA Repair,3
Immunogenetics,3
Neuropeptides,3
Chemical Engineering Science,3
Evidence-Based Mental Health,3
Nature reviews. Genetics,3
Circulation.,3
International Journal of Dermatology,3
Matrix Computations,3
Soils and Foundations,3
Rheumatic Disease Clinics of North America,3
Journal of Electronic Materials,3
Annals of Mathematics,3
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,3
Faraday Discussions,3
Journal of Moral Philosophy,3
Probabilistic Engineering Mechanics,3
Gastroenterology Clinics of North America,3
Challenges for Rural America in the Twenty-First Century,3
Current Gastroenterology Reports,3
International Journal of Market Research,3
Swiss Medical Weekly,3
Infectious Diseases,3
Journal for Nurse Practitioners,3
Prostaglandins and Other Lipid Mediators,3
Camb. Stud. Adv. Math.,3
Journal of Cardiothoracic Surgery,3
Evolution,3
Oxford Economic Papers,3
Journal of Developmental Origins of Health and Disease,3
Journal of Biological Rhythms,3
Educational and Psychological Measurement,3
J. Am. Chem. Soc.,3
Journal of American College Health,3
Microbiological Reviews,3
Progress in Polymer Science (Oxford),3
International Journal of Public Health,3
Cellular and Molecular Immunology,3
Jornal Brasileiro de Pneumologia,3
Physica Scripta T,3
European Journal of Pain,3
The Counseling Psychologist,3
Immunologic Research,3
Best Practice and Research: Clinical Anaesthesiology,3
Journal of Management,3
Paleoceanography,3
Zh. Eksp. Teor. Fiz.,3
Astron. Telegram,3
Journal of Investigational Allergology and Clinical Immunology,2
Annual Review of Analytical Chemistry,2
Bell J. Econom.,2
African Affairs,2
Seminars in Musculoskeletal Radiology,2
Journal of Communication,2
Archives of Public Health,2
Separation and Purification Technology,2
Political Psychology,2
"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",2
Engineering Fracture Mechanics,2
Comparative Biochemistry and Physiology - A Molecular and Integrative Physiology,2
Gastroenterology and Hepatology,2
Structural Chemistry,2
"Behavior Research Methods, Instruments, and Computers",2
American Journal of Alzheimer's Disease and other Dementias,2
Journal of Sex and Marital Therapy,2
Advances in Urology,2
J. Cosmol. Astropart. Phys,2
Ann. of Math.,2
Biochimica et Biophysica Acta - Bioenergetics,2
Results from the 2013 National Survey on Drug Use and Health: Summary of National Findings,2
"IET Generation, Transmission and Distribution",2
Journal of Nephrology,2
Journal of Geographical Sciences,2
Journal of Black Psychology,2
"Japanese Journal of Applied Physics, Part 2: Letters",2
Journal of Early Adolescence,2
Clinical and Experimental Optometry,2
Quality and Quantity,2
Instrument Science Report ACS 2006-01,2
International Journal of Law and Psychiatry,2
Future Neurology,2
IEEE Robot. Autom. Lett.,2
European Journal of Personality,2
Asian American Journal of Psychology,2
Research in Higher Education,2
Political Behavior,2
Current Opinion in Virology,2
Politics and Society,2
Deviant Behavior,2
Yeast,2
"Journal of Health, Organisation and Management",2
Journal of Zhejiang University: Science B,2
J R Stat Soc Series B Stat Methodol,2
Archives of Oral Biology,2
Clinical Journal of Sport Medicine,2
Journal of Nursing Measurement,2
Experimental Mathematics,2
Minimally Invasive Neurosurgery,2
AJCC Cancer Staging Manual (Ed 7),2
Il Nuovo Cimento,2
Canadian Journal of Chemistry,2
Pediatric Surgery International,2
CPT: Pharmacometrics and Systems Pharmacology,2
Theory and Society,2
Metabolic Syndrome and Related Disorders,2
Current Topics in Medicinal Chemistry,2
Tomography,2
Journal of Nanobiotechnology,2
International Journal of Central Banking,2
Astronomy and Geophysics,2
Bull. Am. Astron. Soc.,2
Journal of Consciousness Studies,2
Renewable and Sustainable Energy Reviews,2
Journal of Peace Research,2
American Journal of Hospice and Palliative Medicine,2
Border Identities: Nation and State at International Frontiers,2
Victorian Poetry,2
Journal of Electrostatics,2
Electromechanics of Particles,2
Mon. Not. R. Astron. Soc,2
Biology Open,2
Transplant International,2
Materials Research Society Symposium Proceedings,2
physica status solidi (a),2
Pest Management Science,2
European Journal of Cancer Care,2
Journal of Behavioral Decision Making,2
SciPost Phys.,2
Indian Journal of Ophthalmology,2
Journal of Chromatography B: Biomedical Applications,2
Dementia e Neuropsychologia,2
Recent Results in Cancer Research,2
CB Insights,2
"U.S. Census Bureau Projections Show a Slower Growing, Older, More Diverse Nation a Half Century from Now",2
Stapp car crash journal,2
Journal of the American Association of Nurse Practitioners,2
"Limpopo, South Africa: One Sun Health: The Malaria Awareness Program",2
RMxAA,2
Olmsted South: Old South Critic/New South Planner,2
Theoretical Computer Science,2
Journal of Topology,2
Metabolic Brain Disease,2
IEEE Transactions on Affective Computing,2
Journal of Hepato-Biliary-Pancreatic Sciences,2
International Journal for Parasitology: Drugs and Drug Resistance,2
Chinese Journal of Cancer,2
"Oral Surgery, Oral Medicine, Oral Pathology",2
Evolutionary Bioinformatics,2
Pediatric Drugs,2
BBC News,2
eNeuro,2
Mammalian Genome,2
DNA and Cell Biology,2
Contemporary Nurse,2
HIV Surveillance Report,2
Ecological heterogeneity,2
Investigative Ophthalmology,2
European Journal of Orthopaedic Surgery and Traumatology,2
Environment and Development Economics,2
American Journal on Mental Retardation,2
Geoscientific Model Development,2
Mitochondrion,2
Oil and Chemical Pollution,2
J Heart Lung Transplant,2
Acta Orthopaedica Belgica,2
Journal of Hepato-Biliary-Pancreatic Surgery,2
Environmental Microbiology Reports,2
The Journal of Geometric Analysis,2
Electroanalysis,2
Population Research and Policy Review,2
Healthy and Safe Homes: Research Practice Policy,2
Psychiatry Research: Neuroimaging,2
Annals of the American Academy of Political and Social Science,2
Practical Statistics for Medical Research,2
Neurotoxicology,2
Sultan Qaboos University Medical Journal,2
Frontiers in Molecular Neuroscience,2
Journal of Medical Practice Management,2
Integrative and Comparative Biology,2
Arrhythm Electrophysiol Rev,2
Environmental Science and Pollution Research,2
Electricity Journal,2
Materials Science Forum,2
Gaceta Sanitaria,2
Child Maltreatment,2
Cellular Polymers,2
Journal of Cryptology,2
Ecological Modelling,2
Journal of Neuroscience Nursing,2
Scandinavian Journal of Haematology,2
Journal of Plankton Research,2
"The journals of gerontology. Series A, Biological sciences and medical sciences",2
Scandinavian Journal of Caring Sciences,2
Advances in Calculus of Variations,2
Review of Higher Education,2
Pigment Cell and Melanoma Research,2
Ambulatory Pediatrics,2
Child Dev,2
DNA Research,2
Quantitative Biology,2
Interfaces,2
Acta Pharmacologica Sinica,2
International Clinical Psychopharmacology,2
Expert Opinion on Drug Delivery,2
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire,2
Psychotherapy Research,2
Revista Espanola de Medicina Nuclear e Imagen Molecular,2
"International Conference on Information and Knowledge Management, Proceedings",2
Biochemia Medica,2
Tetrahedron,2
Statistical power analysis for the behavioral sciences,2
Elementary School Journal,2
Applied Acoustics,2
NTSB 2017-2018 Most Wanted List of Transportation Safety Improvements,2
Gazovaia Promyshlennost,2
Biorheology,2
Human and Experimental Toxicology,2
Nursing History Review,2
Molecular Medicine,2
Cognitive Neuroscience,2
Progress in Particle and Nuclear Physics,2
Cellular and molecular life sciences : CMLS,2
Information Sciences,2
Safety Science,2
Hydrocarbon Engineering,2
"Vital and Health Statistics, Series 2: Data Evaluation and Methods Research",2
BMC Genetics,2
Preventing Pressure Ulcers in Hospitals: A Toolkit for Improving Quality of Care,2
Advances in Astronomy,2
Clin Nutr,2
Journal of Chemical Neuroanatomy,2
Bonekey Rep.,2
Comets II,2
The Oxford handbook of food ethics,2
Medical Dosimetry,2
Handbook of Affective Sciences,2
The Works of John Dryden,2
Health Care Management Review,2
Bilingual Research Journal,2
Nurse Education in Practice,2
Doc. Math.,2
Acta Numerica,2
Journal of Applied Ecology,2
School Psychology Review,2
Journal of Laboratory Automation,2
"Vital and health statistics. Series 10, Data from the National Health Survey",2
T Metall. Soc. Aime,2
Adv. Math. Econ.,2
Journal of Vestibular Research: Equilibrium and Orientation,2
Ann ICRP,2
"Journal of Experimental Psychology: Learning, Memory, and Cognition",2
Educational Psychology Review,2
44th Lunar and Planet. Sci. Conf.,2
Int. J. Sci. Res. Publ.,2
Journal of Mental Health Research in Intellectual Disabilities,2
Behavioural Pharmacology,2
Nucl. Instrum. Meth. A,2
Multiple Sclerosis International,2
Annals of Operations Research,2
Protein and Cell,2
Geophys. Res. Lett.,2
Proc. Natl. Acad. Sci. USA,2
Turbulence: The Legacy of A. N. Kolmogorov,2
Revista Medica de Chile,2
Solar Physics,2
Behavior Genetics,2
Substance Abuse,2
International Journal of Preventive Medicine,2
"Pharmacology, Biochemistry and Behavior",2
Reproductive BioMedicine Online,2
Journal of Molecular Graphics and Modelling,2
Parasitology International,2
The Poems of Algernon Charles Swinburne,2
Steroids,2
Tectonics,2
Journal of Healthcare Management,2
Applied Geochemistry,2
Journal of Nanoscience and Nanotechnology,2
Sports Engineering,2
California Management Review,2
BMC Endocrine Disorders,2
Numerical Optimization,2
European Journal of Anaesthesiology,2
Clinics in Liver Disease,2
EUV Lithography,2
Journal of Geophysical Research D: Atmospheres,2
Learning and Motivation,2
J. At. Mol. Opt. Phys.,2
Journal of graduate medical education,2
Soviet Ast,2
Computational Statistics,2
Journal of Politics,2
Meccanica,2
Palliative and Supportive Care,2
Multiple View Geometry in Computer Vision,2
Acta Cytologica,2
Journal of Organizational Behavior,2
Journal of the ACM,2
Journal of Applied Clinical Medical Physics,2
Bulletin of the history of medicine,2
Russian Review,2
BMJ Open Diabetes Res Care,2
Experimental Hematology,2
Organ Procurement and Transplantation Network,2
Stapp Car Crash J.,2
Indian Journal of Pathology and Microbiology,2
Annual review of biophysics and biophysical chemistry,2
BMC health services research,2
Clinical interventions in aging,2
Psychological Services,2
Mathematische Annalen,2
"Drug Design, Development and Therapy",2
The American journal of gastroenterology,2
Cambridge Quarterly of Healthcare Ethics,2
AdS dynamics from conformal field theory,2
Journal of Colloid And Interface Science,2
Advances in Biochemical Engineering/Biotechnology,2
Tuberculosis and Respiratory Diseases,2
Nationalities Papers,2
SIGMOD Record,2
NASSP Bulletin,2
Clinical Kidney Journal,2
Virulence,2
J Am Soc Nephrol,2
Innate Immunity,2
American Journal of Cardiovascular Drugs,2
"Journal of Combinatorial Theory, Series A",2
International Journal of Rock Mechanics and Mining Sciences and,2
QJM - Monthly Journal of the Association of Physicians,2
Dante and the Victorians,2
IEEE Transactions on Intelligent Transportation Systems,2
Hearing Journal,2
"Formation and Evolution of Galaxy Outskirts, Proceedings of the International Astronomical Union, IAU Symposium",2
J Public Health Policy,2
Quarterly Journal of Experimental Psychology Section A: Human Experimental Psychology,2
Mplus User's Guide,2
Behavioral and Brain Functions,2
Statistical analysis with missing data,2
Geological Society of America Bulletin,2
Sports Health,2
APMIS,2
Energy Procedia,2
Annals of African Medicine,2
Results from the 2015 National Survey on Drug Use and Health (NSDUH),2
Journal of Public Health,2
Advances in Virus Research,2
European Journal of Internal Medicine,2
BMC Pregnancy and Childbirth,2
Zeitschrift fur Physik C-Particles and Fields,2
Proc. R. Soc. Lond. A Math. Phys. Sci.,2
ATLA Alternatives to Laboratory Animals,2
Journal of Attention Disorders,2
Cityscape,2
Ann. Math. Statist,2
Journal of International Medical Research,2
Amer. J. Math.,2
Annales Geophysicae,2
Journal of Electron Microscopy,2
International Journal of Astrobiology,2
European Journal of Psychotraumatology,2
Journal of Electronic Imaging,2
Sci Transl Med,2
Molecular Brain Research,2
Physical Review Applied,2
Experimental Physiology,2
Presence: Teleoperators and Virtual Environments,2
Inst. Gas Technol. Res. Bull.,2
Anthropology and Education Quarterly,2
Journal of Statistical Mechanics: Theory and Experiment,2
International Urology and Nephrology,2
J Clin Oncol.,2
Engineering Applications of Artificial Intelligence,2
Survival,2
Convex Optimization,2
Sci,2
BoneKEy Rep.,2
"JINST 12, P01020 (2017)",2
Ocean Engineering,2
Protein Engineering,2
Sao Paulo Medical Journal,2
Biology of the Reptilia,2
Journal of Planning Education and Research,2
IEEE Transactions on Control Systems Technology,2
Physics of the Solid State,2
Japanese Journal of Ophthalmology,2
American Journal of Education,2
IEEE Access,2
Progress of Theoretical Physics,2
National Health and Nutrition Examination Survey: 24-hour Urine Study Procedures Manual,2
"JOGNN - Journal of Obstetric, Gynecologic, and Neonatal Nursing",2
IEEE Spectrum,2
Yonsei Medical Journal,2
CNS Drugs,2
Learning and Individual Differences,2
Journal of Clinical Psychology in Medical Settings,2
Annals of surgery,2
Critical Care Nursing Quarterly,2
Journal of Polymers and the Environment,2
International Journal for Vitamin and Nutrition Research,2
European Journal of Medical Genetics,2
Enediyne Antibiotics as Antitumor Agents,2
Proceedings of the Annual Hawaii International Conference on System Sciences,2
Plant Foods for Human Nutrition,2
New Grids of ATLAS9 Model Atmospheres,2
Marketing Letters,2
Meteoritics and Planetary Science,2
Journal of Vacuum Science and Technology B:Nanotechnology and Microelectronics,2
Acta Psychologica,2
Journal of Research in Nursing,2
Contrast Media and Molecular Imaging,2
J. Glaciol.,2
TheScientificWorldJournal,2
Stata statistical software: Release 13,2
J. Struct. Eng.,2
"26th IEEE Conference on Computer Vision and Pattern Recognition, CVPR",2
"European Respiratory Journal, Supplement",2
Cancer Cytopathology,2
Medical School Graduation Questionnaire: 2016 all Schools Summary Report,2
Toxicologic Pathology,2
IEEE Journal of Solid-State Circuits,2
Population and Environment,2
Theoretical and Applied Genetics,2
Journal of bacteriology,2
Clinical Rehabilitation,2
Ann Stat,2
Frontiers in Chemistry,2
Am Mineral,2
Australian and New Zealand Journal of Obstetrics and Gynaecology,2
Globalizations,2
Journal of Radiation Research,2
Journal of X-Ray Science and Technology,2
International Journal of Crashworthiness,2
Infection,2
The Design and Analysis of Clinical Experiments,2
BMC bioinformatics,2
Disease-a-Month,2
Future Medicinal Chemistry,2
Journal of Clinical Rheumatology,2
HSS Journal,2
Curr. Anthropol.,2
Advances in Genetics,2
Current Opinion in Gastroenterology,2
Review of Asset Pricing Studies,2
Engineering Journal,2
Ecosphere,2
PsycEXTRA Dataset,2
Angew. Chem,2
Acta Neuropathologica Communications,2
Archives of Scientific Psychology,2
"SEER Cancer Statistics Review, 1975-2014",2
"Journal of Health Politics, Policy and Law",2
Simulation in Healthcare,2
J. Comput. Phys.,2
Geriatric Nursing,2
Cryogenics,2
Adolescent health: Understanding and preventing risk behaviors,2
Current Opinion in Cardiology,2
Journal of Neuro-Ophthalmology,2
International Journal of Mathematics,2
Journal of Psychoactive Drugs,2
"Multivariate Density Estimation: Theory, Practice, and Visualization: Second Edition",2
Archives of Neurology And Psychiatry,2
Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,2
Kidney International Supplements,2
Journal of Human Behavior in the Social Environment,2
Economics and Human Biology,2
"Monitoring the future national results on drug use: 1975-2012: Overview, Key Findings on Adolescent Drug Use",2
Women and Criminal Justice,2
Journal of Contemporary China,2
Therapeutic Delivery,2
Michigan Mathematical Journal,2
Canadian Association of Radiologists Journal,2
International Studies Quarterly,2
International Archives of Occupational and Environmental Health,2
Journal of Negro Education,2
Journal of Transcultural Nursing,2
Carbohydrate Research,2
Applied Longitudinal Analysis,2
Cardiovascular Therapeutics,2
Probability Theory and Related Fields,2
Economica,2
Stanford Social Innovation Review,2
Journal of Economic Dynamics and Control,2
Mutagenesis,2
Improving teamwork in organizations: applications of resource management training,2
Canadian Journal of Ophthalmology,2
International Journal of Biostatistics,2
Yakugaku Zasshi,2
Model. Simul. Mater. Sci. Eng.,2
Open Forum Infectious Diseases,2
Daedalus,2
Journal of Medical Imaging,2
EJNMMI Research,2
"Progress in Community Health Partnerships: Research, Education, and Action",2
Vasa - Journal of Vascular Diseases,2
Nephron,2
Behavioral Sleep Medicine,2
"Journal of Plastic, Reconstructive and Aesthetic Surgery",2
IRB Ethics and Human Research,2
European Journal of Gastroenterology and Hepatology,2
International Journal of Injury Control and Safety Promotion,2
Immunome Research,2
PHYS. FLUIDS,2
Clinics in Chest Medicine,2
Mutation Research - Genetic Toxicology and Environmental Mutagenesis,2
J Glob Oncol,2
Archivos de Bronconeumologia,2
Journal of Physics C: Solid State Physics,2
"Flow, Turbulence and Combustion",2
Clinical Anatomy,2
Neural Plasticity,2
Health Environments Research and Design Journal,2
International Journal of Mycobacteriology,2
Journal of Fluorine Chemistry,2
HIV in the United States: At A Glance,2
Journal of Applied Meteorology and Climatology,2
Marine Biology,2
Health Measurement Scales: A Practical Guide to their Development and Use,2
Sedimentology,2
AMA journal of ethics,2
Geophysical Journal of the Royal Astronomical Society,2
Journal of Comparative Physiology A,2
WHO Framework Convention on Tobacco Control,2
Physiological reviews,2
J. Arboric.,2
British Educational Research Journal,2
American Journal of Clinical Oncology: Cancer Clinical Trials,2
European Urology Focus,2
Case Rep. Infect. Dis.,2
Vacuum,2
Sportscience,2
Journal of Marital and Family Therapy,2
Proc. Int. Conf. Learn. Representations,2
Comprehensive Physiology,2
Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,2
The American journal of managed care,2
Confirmatory factor analysis for applied research,2
Frontiers in Computational Neuroscience,2
Zeitschrift fur Naturforschung - Section A Journal of Physical Sciences,2
Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,2
Conformal Turbulence,2
BMC Structural Biology,2
Primary Care - Clinics in Office Practice,2
Archives of Pharmacal Research,2
European Journal of Pain (United Kingdom),2
IEEE Engineering in Medicine and Biology Magazine,2
International Classification of Sleep Disorders,2
Journal of general microbiology,2
European Journal of Echocardiography,2
Zeitschrift fur Orthopadie und Unfallchirurgie,2
Curr. Epidemiol. Rep.,2
Seminars in Fetal and Neonatal Medicine,2
Birth,2
IEEE Transactions on Smart Grid,2
Wiley Interdisciplinary Reviews: Cognitive Science,2
Molecular Human Reproduction,2
Infect Control Hosp Epidemiol,2
Journal of Neurogenetics,2
Annual Review of Genomics and Human Genetics,2
International Journal of Industrial Organization,2
Annals of plastic surgery,2
Drug Alcohol Rev,2
Pure and Applied Chemistry,2
Phys. Rev. Mater.,2
Metallurgical Transactions A,2
Seminars in Radiation Oncology,2
Philosophy comes to dinner,2
Respiratory Physiology and Neurobiology,2
Journal of Allergy,2
QJM,2
JCO Precis. Oncol.,2
The Oxford Textbook of Clinical Research Ethics,2
European Addiction Research,2
American Journal Geriatric Pharmacotherapy,2
Space Kinematics and Lie Groups,2
Free Radical Research,2
Chemical Engineering Communications,2
Am Sociol Rev,2
ISDA Margin Survey,2
Journal of Neurologic Physical Therapy,2
Journal of Rheology,2
Synapse,2
"Japanese Journal of Applied Physics, Part 1: Regular Papers and Short Notes and Review Papers",2
Social Development,2
International Journal of Social Research Methodology: Theory and Practice,2
Veterinary Pathology,2
International Journal of Antimicrobial Agents,2
"Genes, Brain and Behavior",2
Clinical and Experimental Otorhinolaryngology,2
Physical Biology,2
"The Burke Library Archives, Columbia University Libraries, Union Theological Seminary",2
American journal of respiratory cell and molecular biology,2
The Chemistry of Organic Silicon Compounds,2
Amer. Econ. Rev.,2
Revista de saude publica,2
International Review of Law and Economics,2
World report on violence and health,2
Clinical and Experimental Rheumatology,2
Kidney Int,2
Journal of Pharmacokinetics and Pharmacodynamics,2
Hepatology International,2
The moral complexities of eating meat,2
Molecular & cellular proteomics : MCP,2
Powder Technology,2
American Journal of Physics,2
Journal of Transport and Health,2
Journal of Paleontology,2
Blood Pressure,2
Journal of Spinal Disorders and Techniques,2
Psychology of Learning and Motivation - Advances in Research and Theory,2
"Language, Cognition and Neuroscience",2
Archivum Immunologiae et Therapiae Experimentalis,2
Climate Dynamics,2
Journal of Biosciences,2
"Journal of Emergencies, Trauma and Shock",2
International Journal of Gynecological Pathology,2
Journal of Planning Literature,2
Inorganica Chimica Acta,2
Antipode,2
Chem. Eng. Prog. Symp. Ser.,2
International Journal of Andrology,2
Drug Resistance Updates,2
WHO/PBD Ear and Hearing Disorders Examination Form Version 8.3,2
Kennedy Institute of Ethics Journal,2
ChemSusChem,2
J Prev Alzheimers Dis,2
Handbook of Health Economics,2
Diseases of the Colon and Rectum,2
Lingua,2
Journal of Economics and Management Strategy,2
Clinical Spine Surgery,2
Drug Discovery Today: Disease Mechanisms,2
BioMedical Engineering Online,2
Studies in family planning,2
Advances in Theoretical and Mathematical Physics,2
Merrill-Palmer Quarterly,2
Journal of Biomedical Research,2
BMC Cell Biology,2
Journal of CO2 Utilization,2
Journal of Reproductive Immunology,2
Development and Change,2
Ripe for resolution: Conflict and intervention in Africa,2
BMJ Glob Health,2
Materials Transactions,2
Acta Crystallographica Section A: Foundations of Crystallography,2
Journal of Phycology,2
J R Stat Soc Series B Stat Methodol.,2
physica status solidi (b),2
Family Relations,2
Naval Research Logistics,2
Ullmann's Encyclopedia of Industrial Chemistry,2
Laterality,2
Physica B+C,2
Journal of Physics: Condensed Matter,2
Journal of Nuclear Medicine Technology,2
Real Estate Economics,2
Polar Biology,2
National Guidelines for Voluntary Medical Male Circumcision (VMMC) and Early Infant Male Circumcision (EIMC),2
Journal of Managed Care and Specialty Pharmacy,2
American Ethnologist,2
Journal of Geophysical Research B: Solid Earth,2
Public Health Reviews,2
Cancer Management and Research,2
Early Intervention in Psychiatry,2
Psychiatric Annals,2
Annual review of nutrition,2
Mechanics Research Communications,2
Proceedings and Address of the American Philosophical Association,2
Neuroendocrinology,2
